,production_company,number_of_movies
1195,Ad Vitam Production,3
21779,Next Media Animation (NMA),3
26667,Silverline Pictures,3
17973,La Société des Films Sirius,3
17971,La Sept-Arte,3
16986,JupiterFilm,3
17969,La Sept,3
6808,Century 21 Television,3
13862,Global United Media,3
14051,Goldwyn Pictures Corporation,3
3513,Avi Chai fund,3
21741,New World Entertainment Films,3
3514,Avia Films,3
1155,Acteurs Auteurs Associés (AAA),3
14060,Gonafilm,3
19736,Mandart Entertainment Ltd.,3
30493,Westerly Films,3
30453,Welbeck Films Ltd.,3
13847,Global Creative Studios,3
13842,Glenpictures,3
19745,Mandrill Films,3
21724,New Star Entertainment,3
28946,Time Magnetics,3
3530,Avnet/Kerner Productions,3
3532,Avni Movies,3
25629,SP Filmes de São Paulo,3
26171,Sector 5 Films,3
3336,Atossa Film Produktion GmbH,3
18960,Lost City,3
21752,New York Motion Picture,3
14050,Goldwyn Films,3
3387,August Heart Entertainment,3
7521,Cinemand,3
6802,Centrul de Productie Cinematografica Bucuresti,3
14015,Golden Scene,3
17974,La Soga Producciones,3
8356,Content Providers,2
25588,SF Norge A/S,2
25700,Saga Films,2
24200,Punch Media,2
8275,Condor International Productions,2
24251,Pyramide Films,2
8655,Creativity Capital,2
8459,Corndog Productions,2
8271,Condor Filmes,2
25650,STV Film Company,2
25447,Rubber Tree Productions,2
10378,EFilm,2
8448,Corey Marr Productions Inc.,2
10388,EK Pictures,2
10375,EFC Films,2
8467,Corner Store Entertainment,2
8245,Conacite Dos,2
8354,Content Media,2
25715,Sahara Films,2
24233,Purple Rose Productions,2
25461,Ruedeperafilms,2
8365,Continental Film Group Ltd.,2
25927,Sarovar Productions,2
10456,East Asia Film Company,2
24287,Quartet Productions Pvt. Ltd.,2
25699,Saga Film (I),2
8632,Creative Film Enterprises Inc.,2
24281,Quanta Centro de Produções Cinematográficas,2
24326,Quota Rentals Limited,2
24230,Purple Pebble Pictures,2
8639,Creative Motion Pictures,2
25543,S.A.M. Productions,2
24322,Quixotic Endeavors,2
10325,Dziki Film,2
10328,"DíaFragma, Fábrica de Películas",2
10360,EBFilms,2
25579,SD Entertainment,2
8636,Creative Light Entertainment,2
24248,Pyramid Films,2
8461,Cornell Pictures,2
24239,Pushpa Krishna Creations,2
25745,"Salamandra Producciones Cinematográficas, La",2
8631,Creative Entertainment Group,2
10265,Dueto Filmes,2
8269,Concrete Images,2
8435,Copyrights Factory,2
10367,ECM Productions,2
24171,Psycho Rock Productions,2
25737,Saj Productions,2
24305,Quickfoot Media,2
8429,Copper Kid Productions,2
10326,Dálmata Films S.A.,2
8258,Concord Film,2
25456,Ruda Cine,2
8241,Comédie Star,2
25743,Salamander Film Productions,2
10277,Dunamis Cinematografica,2
25926,Sarmasik Sanatlar,2
24223,Puri Connects,2
25462,Ruff Nation Films,2
8468,Corner Table Productions,2
8622,Creative Associates Limited (CAL),2
25635,SPS Telefilms,2
25639,SRO Pictures,2
8588,Craven-Maddalena Films,2
8589,Crawford Productions,2
8323,Conspicuous Pictures,2
25721,Sai Krupa Entertainment,2
25622,SNG Film / Studio Nieuwe Gronden,2
25640,SRS Cinema,2
8318,Consolidated Media Holdings,2
25718,Sahara Vision Productions,2
10340,E. Neville,2
10437,Eagle Home Entertainment,2
8330,Constantin Film International,2
24266,Qartuli Pilmi,2
8227,Comprex,2
8396,Convergent Media.,2
7925,Closest to the Hole Productions,2
25480,Runaway Productions,2
7924,Closer Productions,2
10285,Dune Entertainment,2
25619,SModcast Pictures,2
25738,Sakthi Screens,2
8334,Constellation,2
25554,S.P. Creations,2
8483,Corporación Ecuador para Largo,2
7935,Cloudcover Films,2
8383,Contrast Film,2
8389,Control Z Films,2
25623,SNPC - Società Nazionale Produzioni Cinematografiche,2
8562,Covert Productions,2
8253,Concept Media,2
8327,Constance Bennett Productions,2
25560,S.S. Movietone,2
10400,EMI Film Distributors,2
8219,Compañía de Fomento Cinematográfico,2
8326,Constan Films S.A.,2
25495,Russ-Arts,2
25633,SPI International,2
8217,Compañía Nacional Productora de Películas,2
25494,Rushmore Productions,2
7916,Clique Pictures,2
25491,Rusconi Film,2
8493,Corrino Studios,2
8328,Constant Motion Pictures,2
8581,Cranium Candy Entertainment,2
10292,Durak Film,2
24216,Pure Film Productions,2
8254,Concept Studio,2
24193,Pulsar Cinema,2
25677,Sabre Film Production,2
7928,Clothespin Films,2
25678,Sabre Films,2
10282,Dundee Productions,2
25550,S.K. Films Enterprises,2
10444,Ealing Studios Entertainment,2
8613,Create NSW,2
25641,SRT Entertainments,2
24289,Quasars Film Company,2
10350,E.R.T.,2
8492,Corridor,2
8252,Concept Link Productions,2
8286,Confluential Films,2
8423,Copacabana Filmes,2
10281,Dundee Entertainment,2
25552,S.N.E. Gaumont,2
24302,Quest Films,2
8540,Counterclock Productions,2
24288,Quasar Pictures,2
24178,Pub CO 1,2
24177,Pt. Merantau Films,2
8539,CounterPunch Studios,2
25659,SVS Films,2
8538,CounterNarrative Films,2
10394,EMA Films,2
8473,Corniche Pictures,2
8546,Courage Mon Amour,2
7915,Clipsal Films,2
25476,Rumpus Room Productions,2
24300,Quest Entertainment,2
25616,SLX Productions,2
8404,Cool Cat Productions,2
10440,Eagle Vision,2
25473,Rumleyvision,2
24269,Quad,2
8603,Cre Film,2
8604,Cre-Acción Films,2
10347,E.I. Independent Cinema,2
8306,Conquest Productions,2
8336,Constellation Films,2
8373,Continental Produzione,2
8420,Coopérative Générale du Cinéma Français,2
25611,SKYFILM Studio Ltd.,2
25608,SK productions,2
8551,Court Five,2
8475,Corona Content,2
8414,"Cooperativa Conexión, S.C.L.",2
8417,Cooperativa Spettatori Produttori Cinematografici,2
25931,Sasadhar Mukherjee Productions,2
10407,EMU Films,2
8304,Conquering Lion Pictures,2
8548,Courageous Films,2
10342,E.D.I Films,2
9686,Dialectik,2
8207,Compass Entertainment,2
24993,Revok,2
24594,Random Films,2
9877,Diversa Films,2
9368,Dead Sea Productions,2
24947,Rescued Films,2
9365,Dead On Arrival Digital,2
9878,Diversion Pictures,2
9364,Dead Leaf Productions,2
24951,Resolute Films and Entertainment,2
9353,DeHaven/Shapiro Productions,2
24957,Respect Creations,2
9350,De/Center Communications Inc.,2
8108,Columbia Pictures Industries,2
9340,De Palacio Films,2
9338,De Line Pictures,2
9329,De Facto Film and Video,2
8110,Columbia Pictures Television,2
24583,Rampart Films,2
9312,Daybreak Pictures,2
9894,Divya Films International,2
24987,Reverse Angle Pictures (II),2
9895,Dixi-tv,2
9308,Dayal Creations,2
24988,Reverse Angle Production,2
9302,Day Dreamer Films,2
7991,Cobra Pictures,2
24945,Resaneh Filmsazan,2
9370,Dead Wait Productons,2
9376,Deadeye Films,2
9864,Distinto Films,2
25875,Sanrio Company,2
24602,Ranjit Films,2
9861,Dister Group,2
25814,Samuelson Productions,2
25812,Samuel H. Stiefel Productions,2
9418,Deconstructed Pictures,2
24912,Rendered Pictures,2
25880,Santa Fe,2
25808,Samson Productions Pty. Ltd.,2
24914,Rene Clair Productions,2
9862,Distilled Media,2
8096,Colour Yellow Pictures,2
25882,Santa Fe Productions,2
9411,Decker Bros.,2
7999,Cocksure Entertainment,2
9409,Decipher Entertainment,2
9865,Distra,2
24922,Renkli,2
9400,Debo Film Ltd.,2
24599,Rangeland Productions,2
9399,Deblokada Produkcija,2
9383,Deal Productions,2
9380,Deadrock Films,2
9377,Deadhouse Films,2
9301,Dax Productions,2
24576,Ramesh Sippy Entertainment,2
8659,Creatures,2
9298,Dawson Films,2
25032,Rhombus Film,2
24551,Rajkumar Theaters Private Limited,2
9934,Dog with a Bone Productions,2
24549,Rajkamal Kala Mandir,2
9236,Das Films,2
8123,Combo Produzioni,2
24543,Raj Film Productions,2
24159,Provocator,2
24542,Raj Chakraborty Productions,2
9209,Dark Rift Films,2
25062,Rick Lashbrook Films,2
9200,Dark Morgue Pictures,2
9197,Dark Matter Productions,2
24541,Rainy Day Films,2
9196,Dark Lantern Pictures,2
7987,Cobra Film AG,2
9947,Doha Film Institute,2
24537,Raindog Films,2
9192,Dark Highway Films (I),2
9190,Dark Factory Entertainment,2
9186,Dark Dunes Productions,2
8128,Comedia-Film GmbH,2
9950,Dolce Vita Films,2
9951,Dolger Films,2
25075,Rifkin-Eberts,2
25027,Rhayuela Cine,2
25024,Rezo Productions,2
25798,Samico Films Production Company Ltd.,2
25010,Rex Carlton Productions,2
9913,Docler Entertainment,2
25003,Revolver Amsterdam,2
9284,Davis Entertainment Classics,2
8111,Columbia Pictures Television Trading Company,2
9282,David Whittet Films,2
9917,Documento Films,2
8112,Columbia Pictures do Brasil,2
24561,Ralhan Productions Pvt. Ltd.,2
9920,Dofine Productions,2
25004,Revolver Film,2
25006,Revue Studios,2
9270,David L. Loew Productions,2
25019,Rex-Film GmbH,2
24560,Ralf Westhoff Filmproduktion,2
9268,David Kachappilly Productions,2
25802,Samouraï Films,2
9923,Dog Days Entertainment,2
9925,Dog Face Films,2
8114,Columbia TriStar Filmes do Brasil,2
25014,Rex Film Productions,2
25800,Samit Kakkad Films,2
9263,David Diamond Productions,2
25015,Rex Films,2
25016,Rex Media,2
24905,Ren Film,2
8087,Colordance Pictures,2
9434,Deepjoy Picture,2
9858,Distant Dreams Filmproduktion,2
9607,Deutsche Fox AG (Defa),2
9606,Deutsche Forst-Filmproduktion GmbH,2
24785,Red Violet Productions,2
25855,Sandy Howard,2
9598,Deutsche Bioscop GmbH,2
9589,Detailfilm,2
9587,Desvia Filmes,2
9586,Desvia,2
8034,Cohen Media Group,2
9584,Destro Films,2
9579,Destiny Entertainment Productions,2
25854,Sandstorm Films,2
24691,Realtà Cinematografica,2
25849,Sandrew Metronome Distribution,2
8018,Codo Cinéma,2
9571,Desperado Film,2
9570,DesperaDo,2
9565,Desert Wind Films,2
9748,Digital Magic,2
9752,Digital Nega,2
9561,Desert Rock Films,2
24810,Reef Pictures,2
9556,Desert Flower Filmproduktion,2
9758,Digital Thunderdome,2
24817,Reel Fire Entertainment,2
9722,Different Duck Films,2
9611,Deutschfilm,2
9612,Dev Entertainment Ventures,2
9651,Dharam Motion Pictures,2
24731,Red Compass Media,2
24736,Red Entertainment,2
9684,Dialchi Film,2
9695,Diamond Films,2
9680,Diagonal TV,2
24739,Red Five Entertainment,2
9675,Diablo Films,2
24750,Red Ice Films,2
9660,Dharmik Films,2
24718,Red Baron Films,2
9653,Dhariwal Films,2
9650,Dhanraj Film,2
9614,Devar Films,2
9712,Dice Film,2
9645,Dezenove Filmes,2
25865,Sangsang Film,2
24761,Red Lion Sarl,2
25866,Sangsho,2
9642,Devotion Films,2
9631,Devin Entertainment,2
24772,Red Rover Films,2
9622,Deviant Pictures II,2
24714,Red 56,2
24778,Red Square Pictures,2
24820,Reel Gore Productions,2
8013,Code Red,2
24825,Reel One Entertainment,2
9840,Discofilm,2
9805,Directia Retelei Cinematografice si Difuzarii Filmelor,2
25871,Sanmarco Film,2
24645,Ravina Filmes,2
8070,College Productions,2
9472,Delfo Cinematografica,2
9815,Direktsiya kino,2
9816,Direzione Generale per il Cinema,2
9827,Dirty Cheap Creative,2
24876,Rekun Cinema,2
9466,Delaware Pictures,2
8078,Colonia Media,2
9842,Discovery Films UK,2
9802,Diprente Films,2
24611,Rapid Film Group,2
24878,Related Pictures,2
25817,Samyuktha Movies,2
9458,Del Duca Films,2
8081,Colony Pictures,2
9851,Disneytoon Studios,2
9455,Deiz Production,2
9450,Defy Media,2
25873,Sanqueen Limited,2
24605,Ranown Pictures Corp.,2
8085,Color Green Films,2
9804,Dire Wit Films,2
25825,San Francisco Independent Cinema,2
24826,Reel One Entertainment Worldwide,2
9516,Den Vestdanske Filmpulje,2
9537,Departures Film,2
24674,Real Film,2
24828,Reel Progress,2
9535,Department of Motion Pictures,2
25846,Sandler/Emenegger Productions,2
24672,Real Dreams Entertainment,2
24833,Reelhouse Productions,2
24834,Reelistic Pictures,2
24667,Reader's Digest,2
9779,Dimitri De Grunwald Production,2
25839,Sandcastle 5 Productions,2
9515,Den Siste Skilling,2
25828,San Marco,2
8056,Colgems Productions Ltd.,2
8057,Colin Lesslie Productions,2
25834,Sancro Film,2
24849,Regal,2
24851,Regal Films Company Ltd.,2
9787,Dinamo Story,2
25831,Sanai Pictures,2
24861,Regina Filmes,2
24864,Regina-Film,2
9483,Delphi IV Productions,2
9482,Delphi III Productions,2
9955,Dolly Hall Productions,2
7985,Cobra Entertainment,2
8131,Comedy Central Films,2
24435,RS Productions,2
8827,Curb/Esquire Films,2
10143,Dream Factory,2
8183,Compagnie Franco Coloniale Cinématographique (CFCC),2
10144,Dream Factory Entertainment,2
10145,Dream Factory Group,2
25318,Romax Productions,2
10146,Dream Factory Macedonia,2
24398,RF2K Productions,2
10151,Dream Merchants Enterprise,2
10158,Dream Team Films,2
10160,Dream Theatres,2
10162,Dream Valley Corporation,2
10163,Dream Venture Capital,2
8816,Culture Entertainment Co.,2
24385,RBG Films,2
24384,RB Production,2
24382,RAW Entertainment,2
8184,Compagnie Française Cinématographique (CFC),2
25323,Romesh Films,2
25327,Romulus Entertainment,2
8805,Cullen Park Productions,2
8185,Compagnie Française de Distribution Cinématographique (CFDC),2
25330,România Film,2
25332,Ron Ormond Productions,2
10180,Dreamforce Enterprise,2
8828,Curbside Films,2
24406,RGV Film Company,2
25307,Roma International Film,2
25260,Rodeo,2
8924,D.N. Dream Partners,2
10096,Downes Brothers Entertainment,2
8923,D.M.V.B. Films,2
10102,Draco Films,2
10105,Dragon Films Company,2
10106,Dragon Mountain,2
25243,Rocket Road Pictures,2
25253,Rockville Pictures Inc.,2
10114,Dragonfly Pictures,2
25255,Rocky Point Productions,2
24419,RM Films International,2
25264,Rodgers & Hammerstein Productions,2
25302,Rollercoaster Entertainment,2
8887,Czar Pictures,2
24416,RKO Radio British Productions,2
25270,Roeland Kerbosch Filmproduktie B.V.,2
10124,Drama Svecia,2
8878,Cynozure Networkz,2
8872,Cyclus,2
8869,Cyclone,2
24408,RIDICULOUS Pictures,2
25289,Roja Combines,2
25293,Rokugatsu Gekijô,2
25299,Roll Caption,2
24370,R.V. Films,2
8793,Cuba Pictures,2
25339,Rook Films,2
8683,Crewless Productions,2
25398,Rough Diamond Productions,2
7946,Clubdeal,2
8700,Criterion Films,2
8697,Cristaldifilm,2
24342,R-Squared Productions,2
8696,Cristaldi Pictures,2
25410,Route One Entertainment,2
8204,Company Productions,2
10227,Drotcroft Limited,2
25415,Rowland V. Lee Productions,2
8685,Cricket Films,2
8682,Crevice Entertainment Company,2
8712,Crone Film,2
8680,Crest Animation Productions,2
8205,Company X,2
8674,Crescent Moon,2
25425,Roy Andersson Filmproduktion AB,2
8671,Crescent City Pictures,2
8669,Crescendo Film,2
10242,Dube Industries,2
8668,Creepy Kid Productions,2
10245,Dubrava Film,2
24328,Qvisten Animation,2
25428,Roy Films,2
7947,Clube Filmes,2
25751,Salem Street Entertainment,2
25341,Rooks Nest Entertainment,2
8758,Cruise/Wagner Productions,2
8784,Créa TV,2
8189,Compagnie Jean Renoir,2
8779,Crystal Sky Pictures,2
8776,Crystal Pictures,2
24361,R.M. Films,2
24358,R.K. Productions,2
7950,Clubhouse Pictures (II),2
10201,Dreamscape Cinema,2
25916,Saregama Films,2
7948,Clube Silêncio,2
8765,Cruzdelsur Zona Audiovisual,2
8755,Crudofilms,2
10215,Drina film,2
25367,Rosem Films,2
25368,Rosen Harper Entertainment,2
8746,Crown Productions (II),2
10207,Dreamz Unlimited,2
25382,Rossofuoco,2
25387,Rothernorth,2
24353,R.K. Associates,2
25391,Rotten Productions,2
25392,Rotterdam Films,2
8717,Crook Brothers Productions,2
8715,Cronocinematografica S.p.a.,2
8929,D.P. Skouras,2
24439,RSS Production,2
9167,Dapur Film,2
25230,Rock Films,2
9100,Dakshaa,2
9984,Don Films,2
9094,Daisy-Cinergy Entertainment,2
9090,Daisy 3 Pictures,2
9089,Daisan Productions,2
9985,Don Hartman Productions,2
8136,Comet,2
9086,Daimo Cinematografica,2
9080,Daiei Tokyo Daini,2
24515,Raging Pictures,2
25141,Rival Pictures,2
9074,Daiano Film,2
25143,Rivamarsh,2
9071,Dahlia Street Films,2
9999,Dongchun Films,2
9061,Dadas Film,2
24492,Radio Télévision Belge Francophone (RTBF),2
7968,Coalition Film,2
8149,Commercial Films Siam,2
25775,Salty Earth Pictures,2
9050,DaWa Movies,2
8156,Common Man,2
9046,Da Huang Pictures,2
25905,Saptha Tarang Cinema,2
24490,Radio Televisión Española (RTVE),2
25127,Rising Sun Films,2
9982,Don Carmody Productions,2
9981,Don Bluth,2
9149,Danish Film Institute,2
9957,Dolphin Entertainment,2
9962,DomMedia,2
9166,Dapper Cat Pictures,2
9163,Dany Film,2
24526,Rain Dogs Cine,2
9157,Dansk Skalle HB,2
9970,Domino,2
9156,Dansk Skalle,2
9155,Dansk Novellefilm,2
25092,Rinascita Cinematografica,2
9972,Domino Film & Television International,2
25094,Ring Prod,2
24517,Rahaman Studios,2
25102,Rinkel Film & TV Productions BV,2
25104,Rio Negro,2
9132,Danetan Pty. Ltd.,2
25109,Riot,2
9124,Dan Garcia Productions,2
9122,Dan Films,2
9113,Damien Odoul Films,2
24518,Rahul Productions,2
25121,Rishab Shetty Films,2
9977,Domizia Cinematografica,2
25789,Sam Wiesenthal Productions,2
9040,DViant Films,2
9037,DV3 Productions,2
10018,Doosaboo Films,2
25224,Roc Pictures,2
8963,DCG Plus,2
10061,Double Edge Films,2
25214,Roberts Pictures Inc.,2
25215,Roberts/David Films,2
24458,RVK Studios,2
8174,Compagnia Cinematografica Montoro,2
10063,Double Entente Films,2
8955,DBM Films,2
10064,Double Feature Films,2
8175,Compagnia Cinematografica Montoro (CCM),2
24457,RU-MAR Films,2
10069,Double Meaning Productions,2
10059,Double Eagle,2
8944,DAL Productions,2
10071,Double Play,2
8942,DADA Film,2
25225,Roc-a-fella Films,2
25908,Saracen Films,2
25909,Saradan Media,2
8938,D2R Films,2
10086,Dovidis,2
25227,Rocabruno S.A.,2
8933,D.S. Pictures,2
24441,RSVP,2
10060,Double Edge Entertainment,2
10058,Double Dare You (DDY),2
25167,Road Film,2
10040,Dorsey Productions,2
24484,RadicalMedia,2
9031,DS Films Entertainment,2
7964,CoMix Wave Films,2
9027,DRC Productions,2
9025,DR V RAM Production Private Limited,2
24480,Radiance Media Group,2
25172,Roadshow Productions,2
9021,DPI,2
9010,DMVB Films,2
9009,DMV Entertainment,2
8163,Communicado Productions,2
24470,Race Point Films,2
24463,Raam Raj Kalamandir's,2
25188,Robert Amstler Productions,2
8164,Como Film,2
10043,Dos Dudes Pictures,2
25206,Robert Stigwood Organization (RSO),2
25207,Robert Stillman Productions,2
8166,Compact,2
10048,Dot Film Company,2
8168,Compacto,2
25210,Robert Youngson Productions,2
8170,Compagnia Cinematografica,2
10052,Doubble Troubble Entertainment,2
24162,První Verejnoprávní,2
13214,Full Moon Cinema,2
10475,East-West Film Partners,2
15929,Indie Film Factory,2
15977,IndustryWorks Distribution,2
20406,Metalight Productions,2
20407,Metaluna Productions,2
20409,Metamorfic Productions,2
20410,Metanoia Films,2
20411,Metanormal Motion Pictures,2
15966,Indusfilms,2
15958,Indo-UK Film Company,2
20422,Metrafilms,2
20426,Metro Film S.r.l.,2
15950,Indio Productions,2
20442,Metromedia Producers Corporation (MPC),2
15928,Indie Entertainment,2
15989,Infantry Pictures,2
20445,Metropolis Filmproduction,2
15924,Indican Pictures,2
20453,Metropolitan Films,2
15909,India Take One Productions,2
15901,Independent Television Service (ITVS),2
15900,Independent Sovereign Films,2
15898,Independent Producers,2
15897,Independent Pictures (II),2
15896,Independent Partners,2
15894,Independent Movies,2
15890,Independent Film Producers (IFP),2
15882,Independent Artists Filmproduktion,2
15988,Infafilm GmbH,2
15990,Infernal Films,2
15875,Indalo Productions,2
16044,Inner City Films,2
20329,Memnon Films,2
20332,Memory,2
20333,Mena Films,2
16085,Institut Català de les Empreses Culturals (ICEC),2
16084,Instinctive Film,2
16080,Inspired Toad Productions,2
16073,Insomnia Media Group,2
16066,Insight Productions,2
16054,Innovisions,2
16051,Innova Entertainment,2
20359,Mercury Films,2
20360,Mercury Pictures Corporation,2
16033,Initiate Productions,2
20394,Messters Projektion GmbH,2
20376,Merkur Film A/S,2
20377,Merlin Films,2
20380,Merope,2
20381,Merrick-Alexander Productions,2
20383,Mersham Productions Ltd.,2
16014,Infinity Media,2
16012,Infinity Films,2
16011,Infinity Film & TV Productions,2
16010,Infinity Features Entertainment,2
16009,Infinity,2
16008,Infinitus Production,2
15996,Infinite Frameworks Pte. Ltd.,2
20470,MiLa Media,2
20473,Mia Yapim,2
15678,Iervolino Entertainment,2
15707,Ill-Tex,2
20563,Migma Film AB,2
20568,Mikado Film,2
15731,Image Comics,2
15726,Illustrated Films LLC,2
15724,Illusions Entertainment Corporation,2
20573,Miklen Entertainment,2
15720,Illusion Film & Television,2
20578,Milagro Films,2
15715,Illumination Entertainment,2
15714,Illuminati Films,2
20583,Miles Productions,2
20585,Mili Pictures,2
15704,Iliade and Films,2
15746,Imagica,2
20589,Milk & Media,2
20593,Milkshake Films,2
15697,Ikkon Films,2
20595,Mill House Motion Pictures,2
15694,Ikiru Films,2
15693,Iki Film,2
20596,Millar/Turman Productions,2
15691,Iguana Producciones,2
20598,Millbrook Pictures,2
15686,Ignition Film Productions,2
15684,Ignite Entertainment,2
20602,Millenium Productions,2
20558,Mighty Engine,2
20555,Mifilifilms,2
15870,Incognito Films,2
15822,Impex Films,2
20476,Miasma Films,2
20477,Michael Balcon Productions,2
20478,Michael Bruce Pictures,2
15862,Incendiary Features,2
15859,Inca Film,2
15858,Inbox Pictures Pvt Ltd,2
15854,In-Motion Pictures,2
15853,In-Gear Film Production,2
15837,In Extremis Images,2
15830,Imprint Entertainment,2
20495,Michael Relph Productions,2
20496,Michael Ritchie Productions,2
15819,Imperial Productions Inc. (III),2
15751,Imaginarium Productions,2
20502,Michael White Productions,2
20505,Michaelgion,2
15809,Imperia Films,2
20512,Micott & Basara K.K.,2
20513,Micro Bay Features,2
15802,Imperadio Pictures Ltd.,2
20523,Midas Filmes,2
20527,Middle West Films,2
20529,Midia Cinematografica,2
15776,Imar Film,2
20543,Midnight Sun Entertainment,2
15753,Imaginary Films 2000 Ltd.,2
20328,Memfis Film & Television,2
16098,Instituto Português de Cinema (IPC),2
16099,Instituto de Crédito Oficial (ICO),2
20129,Maxper Producciones Cinematográficas (Maximiliano Pérez Flórez),2
20090,Maurice Devereaux Productions,2
20092,Maurice Tourneur Productions,2
20093,Maurício de Souza Produções Cinematográficas,2
20097,Maverick Films Ltd.,2
16446,J.B.Tanko Filmes,2
16445,J.B.J. Film,2
16439,J. Cornelius Crean Films Inc.,2
20107,Max India Productions,2
16420,Iéna Productions,2
20122,Maxima Pictures,2
16405,Ivan Tors Films,2
16402,Ivan,2
16395,Iterfilm,2
16462,JAGQA Productions,2
16393,Iter Film,2
20135,May-Film,2
20140,Maya Films,2
20141,Maya Movies,2
16378,Italfrance Films,2
16376,Itala Film,2
16368,It's Alive Films,2
20152,Mayflower Pictures,2
16363,Istituto Luce,2
16361,Istiqlal Films,2
16350,Israel Broadcasting Authority (IBA),2
20170,McGatlin Films,2
20088,Maurice Bernard,2
20082,Mattioli Productions,2
16101,"Instituto do Cinema, Audiovisual e Multimédia (ICAM)",2
16569,Jaffilms,2
16614,James Young Entertainment,2
19966,Martin Pope Productions,2
16605,James Flocker Enterprises,2
19974,Martini Films,2
16601,James B. Harris Productions,2
19979,Marv Films,2
19981,Marvel Enterprises,2
16592,Jalan International Films,2
16579,Jaguar Cinema,2
16578,Jaguar Bite,2
16575,Jagfilm,2
19997,Masala Pix,2
16552,Jackie Coogan Productions,2
16467,JBA Productions,2
20019,Master Dream Digital Movie,2
16540,Jack Parsons Productions,2
20022,Master Films,2
16537,Jack H. Harris Enterprises,2
16532,Jack Cummings Productions,2
20033,Mastropieces,2
20036,Matador Motion Pictures,2
20044,Matchpoint,2
20054,Matra Cinematografica,2
16489,JK Film,2
20065,Matt Kelly Films,2
16473,JD Prod,2
20176,Meadway-Claude Productions Company (I) (II),2
16330,"Ishka Films,",2
16324,Isfilm,2
16134,Intercontinental Filmproduktion,2
20285,Megatopia Films,2
16177,International Films,2
16175,International Film Partners,2
20287,Megha Movies,2
16170,International Film Base,2
20294,Mehr Taha Studio,2
16147,Interior13 Cine,2
16145,Interfilme,2
20305,Melcher-Arcola Productions,2
16143,Interfilm Production Studio,2
20306,Melee Entertainment,2
20309,Melina Film,2
16133,Intercontinental Film GmbH,2
20183,Mecklberg Media Group,2
16132,Intercontinental Film Company,2
16131,Intercinema Art Agency,2
16128,Interamericana Films,2
16123,Inter-John Productions,2
16117,Inter Investment Group,2
16115,Inter Allianz Film,2
16114,Intentional Films,2
16113,Intense Productions,2
16111,Intelfilm,2
16108,Integrated Films,2
16103,Insurgent Pictures,2
16102,Insurge Pictures,2
16180,International Harmony,2
16181,International Media Exchange,2
16188,International Production Company,2
20266,Medyavizyon,2
16320,Isasi,2
16317,Isabelle Films,2
16315,Isabella Films,2
20187,Medb Films,2
16311,Irving Asher Productions,2
16309,Irusoin,2
16307,Irreversible Cinema,2
16305,Irony Point,2
20200,Media Factory,2
20202,Media Films,2
20207,Media Mix Japan Company (MMJ),2
16284,Iroko Films S.L.,2
16283,Irmak Film,2
20208,Media One Entertainment,2
16279,Iris Productions,2
16275,Irimage,2
20215,Media Rights Capital (MRC),2
16265,Iran Center for film Industries,2
20220,Media Trend,2
16260,Ipso Facto Productions,2
16258,Ipek Film,2
20243,Mediaset,2
20247,Medien & Television München,2
16210,Interstar Holdings,2
16209,Interstar,2
15681,Igloolik Isuma Productions Inc.,2
20605,Millennium Media,2
14592,HIFI Stereo 70 Kg,2
21104,Movie On Pictures International Holding,2
15002,Herb Jaffe,2
21066,Mount Everest Enterprises Ltd.,2
14998,Hera Productions,2
14989,Henry G. Saperstein Enterprises Inc.,2
21086,Movic,2
21088,Movicorp Media,2
21089,Movie,2
14963,Hellinger / Doll Filmproduktion,2
21095,Movie Impact,2
14960,Hellenic Radio & Television (ERT),2
21099,Movie Magic,2
14952,Heli Chen'guang International Media,2
21112,Movie Seals Productions,2
15005,Herbert Richers Produções Cinematográficas,2
21116,Movie World,2
14930,Hecht-MacArthur Productions,2
14928,Heavy Duty Entertainment,2
14912,Headstrong,2
14903,Head Trauma Productions,2
21150,Movision,2
14883,Haxan Films,2
14878,Hawk's Nest Productions,2
21159,Mpower Pictures,2
14864,Haunted Doll Company,2
14857,Hassala Films,2
21176,Mrs. Wallace Reid Productions,2
15004,Herbert B. Leonard Productions,2
15010,Hercules Cinematografica,2
14844,Harvard Film,2
15055,Hex Media,2
15108,High Rise Studio,2
15104,High Octane Pictures,2
20999,Morning Starr Productions,2
21000,Morning View Films,2
21002,Morningstar Films,2
15097,High Ground Productions,2
15093,High Concept,2
15083,Hidalgo Producciones Cinematográficas,2
21019,Moser Baer,2
15073,Hialeah Park Studios,2
21028,Most Production,2
21030,Mostest Productions,2
15053,Heureka PF,2
15017,Heritage Enterprises Inc.,2
15052,HeuMoore Productions,2
21037,Mother and Daughter Entertainment,2
15049,Hess/Kallberg Productions,2
21040,Motion International,2
15036,Herold and Family,2
21047,Motion Picture House,2
15034,Heroes United Films Ltd.,2
15029,Hernández y Fernández Producciones Cinematográficas,2
15028,Hermès Film,2
15024,Hermes Synchron,2
21057,Motiva Film,2
15018,Heritage Entertainment Inc.,2
21182,Mudra Arts,2
21190,Mukta Searchlight Films,2
15671,Identity Films,2
21328,N279 Entertainment,2
21287,My Way Pictures,2
21291,Myeong Films,2
14693,Hammerstone Studios,2
14691,Hammerhead Productions,2
21304,Mythic International Entertainment,2
14674,Hallelujah Films,2
14668,Half Moon Films,2
